29.400000;26.530001;4.730000,17.830000;32.450001;2.180000,-38.240002;-10.260000;5.120000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-36.299999;8.250000;5.250000,-34.299999;-5.890000;4.740000,-5.510000;36.509998;3.800000,0,-1
32.400002;37.200001;3.910000,-25.190001;-11.320000;3.000000,0.270000;40.639999;4.690000,0,-1
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
39.439999;-11.540000;4.370000,12.030000;27.070000;0.100000,-30.270000;23.180000;4.000000,1,13
38.630001;-0.540000;2.280000,-33.250000;3.630000;1.440000,8.110000;32.270000;5.340000,1,14
-27.889999;34.630001;1.430000,-16.049999;41.939999;0.990000,-18.580000;19.770000;2.240000,1,14
38.169998;5.650000;3.640000,-4.290000;40.130001;0.800000,-44.630001;-11.870000;2.190000,0,-1
0.120000;39.540001;5.750000,39.779999;4.110000;2.210000,-28.620001;39.279999;5.950000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-27.889999;39.500000;1.430000,-33.250000;3.630000;4.390000,8.110000;32.270000;5.340000,1,14
-39.500000;-0.540000;3.420000,-16.049999;41.939999;0.990000,-18.580000;19.770000;2.240000,1,14
39.439999;-11.540000;4.370000,12.030000;38.099998;1.940000,-30.270000;23.180000;4.000000,0,-1
39.439999;8.700000;4.370000,12.030000;38.599998;0.100000,-30.270000;23.180000;4.000000,0,-1
38.630001;-9.200000;2.280000,-33.250000;3.630000;1.440000,8.110000;32.270000;5.340000,1,14
38.630001;-0.540000;1.040000,-33.250000;3.630000;1.440000,8.110000;32.270000;5.340000,1,14
12.070000;24.910000;5.520000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;1.230000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;5.440000,-39.540001;14.920000;2.890000,-30.900000;-8.070000;3.870000,1,12
-33.700001;6.630000;0.550000,-23.500000;-10.800000;5.520000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;1.280000,-39.540001;14.920000;2.890000,-30.900000;-8.070000;3.870000,1,12
-33.700001;6.630000;0.550000,-5.730000;29.600000;5.520000,37.389999;2.720000;1.250000,1,13
-39.500000;-7.300000;3.420000,-16.049999;41.939999;0.990000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.510000,-39.540001;18.400000;2.890000,-18.580000;19.770000;2.240000,1,14
-33.700001;6.630000;0.550000,-5.730000;26.270000;4.540000,8.110000;32.270000;5.340000,1,13
-27.889999;39.500000;1.430000,-33.250000;3.630000;1.480000,-30.900000;-8.070000;3.870000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
32.200001;24.910000;5.440000,-39.540001;14.920000;2.890000,-30.900000;-8.070000;3.870000,0,-1
-33.700001;6.630000;0.550000,-5.730000;28.600000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;11.900000;0.690000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;3.100000,-39.540001;-11.400000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;5.440000,-39.540001;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
36.700001;24.910000;4.510000,-39.540001;18.400000;4.570000,-30.900000;-8.070000;3.870000,0,-1
12.070000;24.910000;0.160000,-39.540001;14.920000;3.950000,-30.900000;-8.070000;3.870000,1,12
12.070000;24.910000;4.200000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;39.599998;4.510000,-39.540001;3.200000;2.890000,-18.580000;19.770000;2.240000,1,14
23.100000;6.900000;5.440000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
43.900002;24.910000;5.000000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.200000,-33.200001;40.299999;0.690000,37.389999;2.720000;1.250000,1,12
16.100000;24.910000;3.100000,-39.540001;6.500000;3.950000,-30.900000;-8.070000;3.870000,1,12
31.500000;24.910000;0.160000,-44.799999;-11.400000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.510000,-5.730000;43.599998;5.520000,-30.900000;-8.070000;3.870000,1,12
-33.700001;6.630000;4.290000,20.200001;14.920000;2.890000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;4.720000,20.200001;14.920000;2.890000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-39.540001;0.700000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.350000,-18.580000;19.770000;2.240000,1,14
34.000000;39.599998;4.510000,-39.540001;3.200000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.200000,-39.540001;6.500000;3.950000,-30.900000;-8.070000;3.870000,1,12
16.100000;24.910000;3.790000,-33.200001;40.299999;0.690000,37.389999;2.720000;1.250000,1,12
12.070000;39.599998;4.510000,14.600000;20.900000;2.890000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,28.700001;43.599998;5.520000,-18.580000;19.770000;2.240000,1,14
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;1.500000,-39.540001;14.920000;0.150000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;1.590000,-39.540001;0.700000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-39.540001;24.799999;2.890000,37.389999;2.720000;1.250000,0,-1
-27.700001;24.910000;4.510000,-5.730000;26.270000;1.440000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;5.660000,28.700001;43.599998;5.520000,-18.580000;19.770000;2.240000,1,14
-29.600000;24.910000;4.510000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,40.099998;24.500000;2.890000,37.389999;2.720000;1.250000,1,12
34.599998;24.910000;4.510000,28.700001;43.599998;4.240000,-18.580000;19.770000;2.240000,1,14
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;0.550000,-39.540001;-2.100000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;34.900002;5.260000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-27.700001;24.910000;4.510000,-5.730000;26.270000;4.140000,-18.580000;19.770000;2.240000,1,13
34.599998;24.910000;4.510000,28.700001;10.100000;4.240000,-30.900000;-8.070000;3.870000,0,-1
-33.700001;6.630000;0.550000,-30.200001;26.270000;5.520000,37.389999;2.720000;1.250000,0,-1
12.070000;33.099998;4.510000,20.000000;24.500000;2.890000,-30.900000;-8.070000;3.870000,1,13
-27.700001;24.910000;4.510000,-39.540001;14.920000;4.420000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.510000,-5.730000;26.270000;1.440000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;34.900002;5.260000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-17.900000;14.920000;2.890000,-30.900000;-8.070000;3.870000,1,12
-33.700001;6.630000;5.570000,-5.730000;26.270000;4.140000,-18.580000;19.770000;2.240000,1,13
-27.700001;24.910000;4.510000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-27.700001;-8.200000;4.510000,-5.730000;26.270000;4.140000,37.389999;2.720000;1.250000,1,13
12.000000;24.910000;4.510000,-39.540001;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
-27.700001;24.910000;4.510000,-5.730000;26.270000;4.140000,-30.900000;-8.070000;3.870000,1,13
27.299999;25.600000;4.510000,-5.730000;26.270000;1.440000,-18.580000;19.770000;2.240000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-27.700001;24.910000;4.510000,17.700001;26.270000;5.520000,37.389999;2.720000;1.250000,1,13
12.070000;34.900002;3.370000,-5.730000;26.270000;3.750000,-30.900000;-8.070000;3.870000,1,13
43.500000;24.910000;4.510000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
12.070000;34.900002;5.260000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
27.299999;25.600000;4.510000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
12.000000;24.910000;3.170000,-5.730000;26.270000;1.440000,-18.580000;19.770000;2.240000,1,13
-27.700001;24.910000;4.510000,-17.900000;14.920000;5.270000,-30.900000;-8.070000;3.870000,0,-1
12.070000;33.700001;4.510000,-5.730000;26.270000;0.870000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;40.900002;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;3.300000,-5.730000;26.270000;0.870000,-30.900000;-8.070000;3.870000,1,13
12.070000;34.900002;2.920000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
27.299999;25.600000;2.520000,-5.730000;26.270000;1.190000,-30.900000;-8.070000;3.870000,1,13
43.500000;23.700001;4.510000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
-43.599998;22.299999;4.510000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
27.299999;25.600000;1.900000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
27.299999;25.600000;0.350000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
13.400000;22.299999;4.510000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
12.070000;34.900002;2.920000,-23.000000;26.270000;3.750000,37.389999;2.720000;1.250000,0,-1
-43.599998;10.700000;4.510000,-33.900002;26.270000;3.750000,37.389999;2.720000;1.250000,0,-1
-43.599998;22.299999;4.900000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
27.299999;25.600000;1.900000,-5.730000;26.270000;0.870000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;3.300000,30.600000;18.000000;2.890000,-18.580000;19.770000;2.240000,1,14
12.070000;24.910000;3.300000,-5.730000;26.270000;0.870000,-30.900000;-8.070000;3.870000,1,13
-33.700001;40.299999;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-43.599998;22.299999;4.900000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
-43.599998;22.299999;1.530000,-32.200001;26.270000;3.750000,37.389999;2.720000;1.250000,0,-1
12.070000;25.400000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-43.599998;-5.700000;4.900000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
27.299999;25.600000;2.460000,-5.730000;38.700001;0.870000,-18.580000;19.770000;2.240000,1,14
13.400000;22.299999;4.510000,-17.400000;14.920000;2.890000,-30.900000;-8.070000;3.870000,1,12
12.070000;22.200001;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;26.799999;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;22.200001;5.080000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;18.500000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
20.799999;25.400000;3.310000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
9.200000;22.200001;4.510000,-39.540001;14.920000;0.530000,37.389999;2.720000;1.250000,1,12
12.070000;22.200001;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;25.400000;4.510000,-39.540001;20.100000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-41.200001;14.920000;1.400000,37.389999;2.720000;1.250000,1,12
42.099998;22.200001;5.080000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.450000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;25.400000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;33.599998;3.400000,-39.540001;20.100000;2.890000,37.389999;2.720000;1.250000,0,-1
20.799999;25.400000;3.310000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;25.400000;4.510000,-39.540001;10.900000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-36.500000;24.910000;4.510000,-41.200001;14.920000;0.180000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.130000,-39.540001;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
-33.700001;-7.800000;0.550000,-5.730000;26.270000;4.750000,37.389999;2.720000;1.250000,1,13
