29.400000;26.530001;4.730000,17.830000;32.450001;2.180000,-38.240002;-10.260000;5.120000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.450000,-30.900000;-8.070000;3.870000,1,12
20.799999;42.500000;3.310000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
20.799999;27.600000;3.310000,-39.540001;11.900000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;25.400000;4.510000,-39.540001;6.400000;2.890000,-30.900000;-8.070000;3.870000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;3.850000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;0.550000,-38.599998;26.270000;3.850000,37.389999;2.720000;1.250000,0,-1
-36.900002;6.630000;0.550000,-5.730000;26.270000;3.850000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;2.270000,-42.000000;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.130000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;25.400000;4.510000,-39.540001;24.400000;2.890000,-30.900000;-8.070000;3.870000,1,12
26.700001;24.910000;4.510000,-39.540001;14.920000;2.450000,-30.900000;-8.070000;3.870000,0,-1
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;25.299999;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;26.500000;4.510000,-39.540001;24.500000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;2.270000,-42.000000;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;2.270000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
-7.300000;24.910000;4.130000,-42.000000;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;1.010000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.130000,-37.099998;24.500000;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.130000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
-36.900002;6.630000;0.550000,-5.730000;26.270000;3.850000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
13.100000;24.910000;2.270000,-39.540001;24.500000;2.890000,37.389999;2.720000;1.250000,1,12
-7.700000;26.500000;4.510000,-37.099998;15.000000;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;20.600000;4.130000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;1.010000,-37.099998;24.500000;1.920000,37.389999;2.720000;1.250000,1,12
8.800000;24.910000;1.010000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
8.500000;24.910000;4.130000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,38.099998;24.500000;1.920000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.130000,37.299999;20.299999;5.520000,-30.900000;-8.070000;3.870000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
13.100000;24.910000;2.270000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;4.600000;0.550000,-39.540001;40.200001;2.890000,37.389999;2.720000;1.250000,0,-1
-42.099998;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;20.600000;4.130000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-27.100000;24.910000;1.010000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,0,-1
8.800000;24.910000;1.010000,-37.099998;-7.300000;1.920000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.070000,37.389999;2.720000;1.250000,1,13
8.500000;23.900000;4.130000,-39.540001;14.920000;3.370000,-30.900000;-8.070000;3.870000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;34.599998;4.510000,-39.540001;14.920000;0.630000,-30.900000;-8.070000;3.870000,0,-1
8.500000;23.900000;5.340000,-39.540001;14.920000;5.390000,37.389999;2.720000;1.250000,1,12
12.070000;20.600000;3.420000,-39.540001;-6.300000;2.890000,37.389999;2.720000;1.250000,1,12
8.800000;24.910000;1.010000,-37.099998;14.800000;1.920000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;30.000000;5.520000,-30.900000;-8.070000;3.870000,1,13
13.100000;24.910000;2.270000,-26.400000;26.270000;4.980000,-30.900000;-8.070000;3.870000,1,12
-39.799999;6.630000;0.550000,-31.400000;26.270000;5.070000,37.389999;2.720000;1.250000,0,-1
-33.700001;6.630000;1.620000,36.900002;26.270000;5.070000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
9.500000;23.900000;5.340000,-39.540001;14.920000;5.390000,-30.900000;-8.070000;3.870000,1,12
-33.700001;38.200001;0.550000,-5.730000;26.270000;5.520000,37.389999;2.720000;1.250000,1,13
-33.700001;12.900000;0.550000,23.500000;30.000000;5.520000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,-30.900000;-8.070000;3.870000,1,12
-14.400000;36.400002;0.550000,-5.730000;30.000000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;2.500000,-5.730000;30.000000;5.520000,-30.900000;-8.070000;3.870000,1,13
8.500000;23.900000;0.250000,-39.540001;-6.300000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;20.600000;4.470000,-39.540001;14.920000;5.390000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
9.500000;23.900000;5.340000,32.799999;26.270000;5.520000,37.389999;2.720000;1.250000,1,12
-37.400002;38.200001;0.550000,-39.540001;14.920000;1.770000,-30.900000;-8.070000;3.870000,0,-1
-14.400000;36.400002;0.550000,-5.730000;43.099998;5.520000,-30.900000;-8.070000;3.870000,0,-1
-14.400000;36.400002;4.990000,-5.730000;30.000000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;20.600000;4.470000,-39.540001;1.600000;5.390000,-30.900000;-8.070000;3.870000,1,12
9.500000;23.900000;5.340000,-39.540001;14.920000;2.050000,37.389999;2.720000;1.250000,1,12
12.070000;20.600000;4.470000,-39.540001;14.920000;1.790000,37.389999;2.720000;1.250000,1,12
8.500000;23.900000;0.250000,-39.540001;-6.300000;3.950000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;-6.100000;0.550000,-5.730000;26.270000;5.220000,37.389999;2.720000;1.250000,1,13
9.500000;23.900000;5.340000,32.799999;23.500000;5.520000,-30.900000;-8.070000;3.870000,1,12
8.500000;23.900000;1.870000,-39.540001;-6.300000;3.950000,37.389999;2.720000;1.250000,1,12
12.070000;20.600000;0.130000,-39.540001;14.920000;1.790000,37.389999;2.720000;1.250000,1,12
39.099998;20.600000;4.470000,-39.540001;1.600000;3.350000,37.389999;2.720000;1.250000,0,-1
9.500000;23.900000;5.340000,32.799999;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,12
11.400000;24.910000;4.510000,-39.540001;14.920000;2.890000,-30.900000;-8.070000;3.870000,1,12
12.070000;20.600000;3.480000,-39.540001;1.600000;5.390000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;20.600000;0.060000,-39.540001;1.600000;5.390000,-30.900000;-8.070000;3.870000,1,12
18.100000;23.900000;5.340000,32.799999;23.500000;0.190000,37.389999;2.720000;1.250000,1,12
-33.700001;23.200001;0.550000,-5.730000;26.270000;0.190000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;5.240000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
26.500000;23.900000;5.340000,-39.540001;-6.300000;3.950000,37.389999;2.720000;1.250000,0,-1
8.500000;23.900000;2.950000,32.799999;26.270000;0.840000,-30.900000;-8.070000;3.870000,1,12
-33.700001;6.630000;0.550000,-39.540001;31.600000;5.390000,37.389999;2.720000;1.250000,0,-1
12.070000;20.600000;3.480000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;27.200001;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-44.599998;23.900000;5.340000,32.799999;23.500000;0.190000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;5.240000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
8.500000;23.900000;2.980000,-39.540001;1.600000;5.390000,-30.900000;-8.070000;3.870000,1,12
12.070000;25.299999;0.190000,32.799999;26.270000;0.840000,-30.900000;-8.070000;3.870000,1,12
-33.700001;23.200001;3.460000,-5.730000;26.270000;0.190000,-30.900000;-8.070000;3.870000,1,13
-31.100000;23.900000;2.950000,32.799999;26.270000;0.840000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;23.200001;3.460000,-5.730000;26.270000;3.790000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;0.550000,-39.500000;26.270000;4.800000,-30.900000;-8.070000;3.870000,0,-1
21.000000;23.200001;3.460000,-5.730000;26.270000;0.190000,-30.900000;-8.070000;3.870000,1,13
8.500000;23.900000;2.980000,-39.540001;1.600000;5.390000,-30.900000;-8.070000;3.870000,1,12
-33.700001;27.200001;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;13.600000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;5.340000,-39.540001;10.800000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;5.240000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;1.260000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;25.000000;5.340000,-39.540001;10.800000;2.890000,37.389999;2.720000;1.250000,1,12
-36.099998;13.600000;3.890000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.200001;27.200001;1.060000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
21.000000;23.200001;3.460000,-5.730000;41.000000;5.520000,-30.900000;-8.070000;3.870000,1,12
-33.700001;32.700001;0.550000,-5.730000;26.270000;0.190000,-30.900000;-8.070000;3.870000,1,13
15.800000;23.200001;3.460000,-5.730000;44.400002;3.790000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;5.340000,-39.540001;10.800000;2.890000,-30.900000;-8.070000;3.870000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;-5.300000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;5.290000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;3.350000,-39.540001;14.920000;2.890000,-30.900000;-8.070000;3.870000,1,12
-36.099998;13.600000;3.890000,-5.730000;33.099998;2.660000,37.389999;2.720000;1.250000,1,13
-36.099998;13.600000;3.890000,-5.730000;26.270000;5.520000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;1.730000,-30.900000;-8.070000;3.870000,1,12
21.000000;10.800000;3.460000,-13.600000;41.000000;5.520000,-30.900000;-8.070000;3.870000,1,12
34.299999;23.200001;3.460000,-5.730000;41.000000;5.520000,-30.900000;-8.070000;3.870000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;27.400000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;0.550000,17.200001;19.400000;5.520000,-30.900000;-8.070000;3.870000,1,13
21.000000;10.800000;3.460000,-39.540001;-9.100000;5.020000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;0.460000,-13.600000;44.000000;5.520000,-30.900000;-8.070000;3.870000,1,12
21.000000;43.400002;3.460000,-13.600000;41.000000;5.520000,-30.900000;-8.070000;3.870000,0,-1
12.070000;24.910000;3.350000,-39.540001;18.700001;5.800000,-30.900000;-8.070000;3.870000,1,12
21.000000;40.700001;3.460000,-13.600000;41.000000;5.520000,-30.900000;-8.070000;3.870000,0,-1
12.070000;24.910000;3.350000,-44.799999;14.920000;5.450000,-30.900000;-8.070000;3.870000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,24.500000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,12
-22.600000;27.400000;0.550000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
-30.799999;24.910000;3.350000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;0.550000,-39.540001;18.700001;2.590000,-30.900000;-8.070000;3.870000,0,-1
12.070000;24.910000;4.510000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-30.500000;27.400000;0.550000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;3.350000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-18.900000;24.910000;4.510000,23.400000;14.920000;5.450000,-30.900000;-8.070000;3.870000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
